SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,Year,Population
40,3,6,1,0,Alabama,Alabama,2010,4785437
50,3,6,1,1,Alabama,Autauga County,2010,54773
50,3,6,1,3,Alabama,Baldwin County,2010,183112
50,3,6,1,5,Alabama,Barbour County,2010,27327
50,3,6,1,7,Alabama,Bibb County,2010,22870
50,3,6,1,9,Alabama,Blount County,2010,57376
50,3,6,1,11,Alabama,Bullock County,2010,10876
50,3,6,1,13,Alabama,Butler County,2010,20932
50,3,6,1,15,Alabama,Calhoun County,2010,118408
50,3,6,1,17,Alabama,Chambers County,2010,34122
50,3,6,1,19,Alabama,Cherokee County,2010,25963
50,3,6,1,21,Alabama,Chilton County,2010,43653
50,3,6,1,23,Alabama,Choctaw County,2010,13849
50,3,6,1,25,Alabama,Clarke County,2010,25766
50,3,6,1,27,Alabama,Clay County,2010,13898
50,3,6,1,29,Alabama,Cleburne County,2010,15004
50,3,6,1,31,Alabama,Coffee County,2010,50208
50,3,6,1,33,Alabama,Colbert County,2010,54524
50,3,6,1,35,Alabama,Conecuh County,2010,13236
50,3,6,1,37,Alabama,Coosa County,2010,11780
50,3,6,1,39,Alabama,Covington County,2010,37809
50,3,6,1,41,Alabama,Crenshaw County,2010,13869
50,3,6,1,43,Alabama,Cullman County,2010,80456
50,3,6,1,45,Alabama,Dale County,2010,50394
50,3,6,1,47,Alabama,Dallas County,2010,43854
50,3,6,1,49,Alabama,DeKalb County,2010,71163
50,3,6,1,51,Alabama,Elmore County,2010,79552
50,3,6,1,53,Alabama,Escambia County,2010,38345
50,3,6,1,55,Alabama,Etowah County,2010,104459
50,3,6,1,57,Alabama,Fayette County,2010,17229
50,3,6,1,59,Alabama,Franklin County,2010,31746
50,3,6,1,61,Alabama,Geneva County,2010,26777
50,3,6,1,63,Alabama,Greene County,2010,8991
50,3,6,1,65,Alabama,Hale County,2010,15745
50,3,6,1,67,Alabama,Henry County,2010,17296
50,3,6,1,69,Alabama,Houston County,2010,101798
50,3,6,1,71,Alabama,Jackson County,2010,53184
50,3,6,1,73,Alabama,Jefferson County,2010,658215
50,3,6,1,75,Alabama,Lamar County,2010,14496
50,3,6,1,77,Alabama,Lauderdale County,2010,92737
50,3,6,1,79,Alabama,Lawrence County,2010,34342
50,3,6,1,81,Alabama,Lee County,2010,140794
50,3,6,1,83,Alabama,Limestone County,2010,83181
50,3,6,1,85,Alabama,Lowndes County,2010,11289
50,3,6,1,87,Alabama,Macon County,2010,21505
50,3,6,1,89,Alabama,Madison County,2010,336095
50,3,6,1,91,Alabama,Marengo County,2010,20956
50,3,6,1,93,Alabama,Marion County,2010,30816
50,3,6,1,95,Alabama,Marshall County,2010,93122
50,3,6,1,97,Alabama,Mobile County,2010,413315
50,3,6,1,99,Alabama,Monroe County,2010,23005
50,3,6,1,101,Alabama,Montgomery County,2010,229505
50,3,6,1,103,Alabama,Morgan County,2010,119608
50,3,6,1,105,Alabama,Perry County,2010,10563
50,3,6,1,107,Alabama,Pickens County,2010,19749
50,3,6,1,109,Alabama,Pike County,2010,32970
50,3,6,1,111,Alabama,Randolph County,2010,22937
50,3,6,1,113,Alabama,Russell County,2010,53321
50,3,6,1,115,Alabama,St. Clair County,2010,83571
50,3,6,1,117,Alabama,Shelby County,2010,196032
50,3,6,1,119,Alabama,Sumter County,2010,13730
50,3,6,1,121,Alabama,Talladega County,2010,82172
50,3,6,1,123,Alabama,Tallapoosa County,2010,41476
50,3,6,1,125,Alabama,Tuscaloosa County,2010,194996
50,3,6,1,127,Alabama,Walker County,2010,66997
50,3,6,1,129,Alabama,Washington County,2010,17626
50,3,6,1,131,Alabama,Wilcox County,2010,11560
50,3,6,1,133,Alabama,Winston County,2010,24412
40,4,9,2,0,Alaska,Alaska,2010,713910
50,4,9,2,13,Alaska,Aleutians East Borough,2010,3166
50,4,9,2,16,Alaska,Aleutians West Census Area,2010,5559
50,4,9,2,20,Alaska,Anchorage Municipality,2010,293321
50,4,9,2,50,Alaska,Bethel Census Area,2010,17084
50,4,9,2,60,Alaska,Bristol Bay Borough,2010,1002
